Zone,Produit,Origine,Aliments pour animaux,Autres Utilisations,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Semences,Traitement,Variation de stock,Categorie
Maldives,Poivre,Vegetale,0.0,0.0,1.0,0.15,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epices
Maldives,Pommes,Vegetale,0.0,0.0,22.0,35.48,0.09,0.06,12000000.0,0.0,12000000.0,12000000.0,0.0,0.0,0.0,0.0,0.0,Fruits
Maldives,Pommes de terre,Vegetale,0.0,1000000.0,26.0,15.55,0.03,0.55,6000000.0,0.0,6000000.0,5000000.0,0.0,0.0,0.0,0.0,0.0,Racines et tubercules
Maldives,Racines (non définies),Vegetale,0.0,0.0,16.0,6.51,0.03,0.29,2000000.0,0.0,0.0,2000000.0,0.0,2000000.0,0.0,0.0,0.0,Racines et tubercules
Maldives,Raisin,Vegetale,0.0,0.0,4.0,2.42,0.0,0.04,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,Fruits
Maldives,Riz (équivalent blanchi),Vegetale,0.0,7000000.0,496.0,50.73,1.25,9.86,25000000.0,0.0,25000000.0,18000000.0,0.0,0.0,0.0,0.0,0.0,Céréales
Maldives,Seigle,Vegetale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Céréales
Maldives,Soja,Vegetale,0.0,0.0,1.0,0.2,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oléagineux
Maldives,Sorgho,Vegetale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Céréales
Maldives,Sucre (équivalent brut),Vegetale,0.0,0.0,278.0,27.73,0.0,0.0,10000000.0,0.0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,Sucres et édulcorants
Maldives,Sésame,Vegetale,0.0,0.0,0.0,0.03,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oléagineux
Maldives,Thé,Vegetale,0.0,0.0,1.0,1.3,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boissons stimulantes
Maldives,Tomates,Vegetale,0.0,0.0,10.0,16.59,0.1,0.45,6000000.0,0.0,6000000.0,6000000.0,0.0,0.0,0.0,0.0,0.0,Légumes
Maldives,Viande d'ovins et caprins,Animale,0.0,0.0,5.0,0.7,0.43,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Viandes
Maldives,Viande de bovins,Animale,0.0,2000000.0,35.0,9.44,2.03,3.85,5000000.0,0.0,5000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,Viandes
Maldives,Viande de suidés,Animale,0.0,0.0,10.0,1.22,0.95,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Viandes
Maldives,Viande de volailles,Animale,0.0,4000000.0,62.0,18.47,3.94,6.3,10000000.0,0.0,10000000.0,6000000.0,0.0,0.0,0.0,0.0,0.0,Viandes
Maldives,Viande et autres,Animale,0.0,0.0,9.0,2.58,0.39,1.22,1000000.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,Viandes
Maldives,Vin,Vegetale,0.0,1000000.0,3.0,1.83,0.0,0.0,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,Boissons alcoolisees
Maldives,Épices et autres,Vegetale,0.0,0.0,23.0,2.46,0.87,0.78,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,Epices
Mali,Abats comestible,Animale,0.0,0.0,11.0,3.57,0.39,1.62,55000000.0,0.0,0.0,55000000.0,0.0,55000000.0,0.0,0.0,0.0,Viandes
Mali,Agrumes et autres,Vegetale,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fruits
Mali,"Alcool, non comestible",Vegetale,0.0,2000000.0,0.0,0.0,0.0,0.0,2000000.0,0.0,1000000.0,0.0,0.0,2000000.0,0.0,0.0,0.0,Boissons alcoolisees
Mali,Aliments pour enfants,Vegetale,0.0,0.0,0.0,0.04,0.0,0.02,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,Produits divers
Mali,Ananas,Vegetale,0.0,0.0,0.0,0.1,0.0,0.0,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,Fruits
Mali,Arachides decortiquees,Vegetale,0.0,112000000.0,22.0,1.46,1.79,0.93,360000000.0,2000000.0,0.0,22000000.0,7000000.0,361000000.0,18000000.0,200000000.0,0.0,Oléagineux
Mali,Avoine,Vegetale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Céréales
Mali,Bananes,Vegetale,0.0,0.0,20.0,11.94,0.03,0.33,183000000.0,0.0,1000000.0,183000000.0,0.0,181000000.0,0.0,0.0,0.0,Fruits
Mali,Beurre et ghee,Animale,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Huiles et graisses
Mali,Bière,Vegetale,0.0,0.0,1.0,1.19,0.0,0.02,18000000.0,0.0,5000000.0,18000000.0,0.0,13000000.0,0.0,0.0,0.0,Boissons alcoolisees
Mali,Blé,Vegetale,0.0,0.0,99.0,12.48,0.69,2.81,197000000.0,3000000.0,293000000.0,191000000.0,6000000.0,27000000.0,1000000.0,0.0,-120000000.0,Céréales
Mali,Boissons alcooliques,Vegetale,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boissons alcoolisees
Mali,Boissons fermentés,Vegetale,0.0,0.0,5.0,5.47,0.0,0.07,84000000.0,0.0,0.0,84000000.0,0.0,84000000.0,0.0,0.0,0.0,Boissons alcoolisees
Mali,Café,Vegetale,0.0,0.0,0.0,0.12,0.0,0.01,2000000.0,0.0,2000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,Boissons stimulantes
Mali,Cephalopodes,Animale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poisson et fruits de mer
Mali,Citrons et limes,Vegetale,0.0,0.0,1.0,1.73,0.01,0.03,26000000.0,0.0,0.0,26000000.0,0.0,26000000.0,0.0,0.0,0.0,Fruits
Mali,Coco (inclut coprah),Vegetale,0.0,0.0,0.0,0.05,0.02,0.0,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,Oléagineux
Mali,Crustacés,Animale,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poisson et fruits de mer
Mali,Crème,Animale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lait et fromage
